id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,to climb with,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6498791606211571,0.6998011680380246,0.6498791606211571,0.6713145432947697,0.6498791606211571,1,1,1.0
1094,to hang things,hang things,['hang'],hang,Rope,rope,0.17006,1.06316,1.04354,0.97047,0.98586,1.10792,1.03419,0.7173498783006496,0.8280177704502534,0.7173498783006496,0.7763150098456454,0.7173498783006496,2,3,2.5
1094,as a decoration,decoration,['decoration'],decoration,Rope,rope,0.0207,0.88733,0.95334,0.88736,1.00763,0.88772,0.92468,0.8877171541368273,0.8280177704502534,0.8877171541368273,0.7763150098456454,0.7173498783006496,3,3,3.0
1094,to make unique designs with,make unique designs,"['unique', 'design']",unique design,Rope,rope,0.08675,0.974,0.90674,1.04841,1.0386,0.88666,0.97088,1.1432160505076894,0.8798679905487949,0.9525641467973718,0.8184622139960842,0.475656103313163,4,3,3.5
1094,to tie different knots,tie different knots,"['tie', 'different', 'knot']",tie different knot,Rope,rope,0.06728,0.88316,0.94245,1.00882,0.91205,0.96189,0.94167,0.9302799641434557,0.8342551500261721,0.8893418976873452,0.6547573503846053,0.5865462592018765,1,2,1.5
1093,tying,tying,['tying'],tying,Rope,rope,-0.26046,0.55332,0.60753,0.70139,0.88345,0.68301,0.68574,0.6830116383789299,0.8461519063645763,0.6830116383789299,0.7466538221706415,0.6830116383789299,1,2,1.5
1093,strangling,strangling,['strangling'],strangling,Rope,rope,-0.11668,0.75183,0.68607,0.74526,1.04881,0.85181,0.81676,0.8518088651173588,0.8798679905487949,0.8518088651173588,0.8184622139960842,0.475656103313163,3,2,2.5
1093,dangling,dangling,['dangling'],dangling,Rope,rope,-0.34252,0.53652,0.6413,0.64232,0.73285,0.50062,0.61072,0.5006191637863309,0.8798679905487949,0.5006191637863309,0.8184622139960842,0.475656103313163,2,2,2.0
1093,loosening,loosening,['loosening'],loosening,Rope,rope,-0.12828,0.75619,0.7826,0.7344,0.77427,0.84373,0.77824,0.8437308458870534,0.8798679905487949,0.8437308458870534,0.8184622139960842,0.475656103313163,2,2,2.0
1093,jumping,jumping,['jumping'],jumping,Rope,rope,-0.28383,0.64873,0.72521,0.68915,0.56684,0.55123,0.63623,0.5512320332929109,0.8798679905487949,0.5512320332929109,0.8184622139960842,0.475656103313163,2,3,2.5
1093,shaking,shaking,['shaking'],shaking,Rope,rope,-0.05986,0.79124,0.89778,0.84147,0.93716,0.80317,0.85416,0.8031676584742562,0.8798679905487949,0.8031676584742562,0.8184622139960842,0.475656103313163,2,3,2.5
1093,pulling,pulling,['pulling'],pulling,Rope,rope,-0.22071,0.69754,0.81565,0.72677,0.64199,0.60127,0.69664,0.6012694634514568,0.8488324900048769,0.6012694634514568,0.7850806354370268,0.6012694634514568,2,1,1.5
1159,climb,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6498791606211571,0.6998011680380246,0.6498791606211571,0.6713145432947697,0.6498791606211571,1,1,1.0
1159,travel,travel,['travel'],travel,Rope,rope,0.10625,0.96111,1.04832,0.9802,1.04357,0.94342,0.99532,0.9434165302246004,0.8798679905487949,0.9434165302246004,0.8184622139960842,0.475656103313163,3,4,3.5
1159,use to jump off something with,use jump something,['jump'],jump,Rope,rope,-0.0088,0.75353,0.87618,0.96853,0.99522,0.87414,0.89352,0.6495595397071157,0.8798679905487949,0.6495595397071157,0.8184622139960842,0.475656103313163,2,1,1.5
1159,connect things,connect things,['connect'],connect,Rope,rope,0.1468,1.02112,1.04459,0.98037,0.92661,1.07248,1.00903,0.8316291106572136,0.8488324900048769,0.8316291106572136,0.7850806354370268,0.6012694634514568,2,1,1.5
1159,use for a workout,use workout,['workout'],workout,Rope,rope,0.17709,1.02538,1.05244,1.00655,1.04674,1.10157,1.04654,0.8559976179809989,0.8798679905487949,0.8559976179809989,0.8184622139960842,0.475656103313163,3,3,3.0
1159,use to wrap presents,use wrap presents,"['wrap', 'present']",wrap present,Rope,rope,0.06606,0.98597,0.93423,0.94061,1.03032,0.90467,0.95916,1.1448732913771535,0.8798679905487949,0.985792141171088,0.8184622139960842,0.475656103313163,3,3,3.0
1159,decorative,decorative,['decorative'],decorative,Rope,rope,-0.01687,0.87709,0.92443,0.88069,1.04079,0.78079,0.90076,0.7807895472660819,0.8798679905487949,0.7807895472660819,0.8184622139960842,0.475656103313163,3,3,3.0
1159,tie knots,tie knots,"['tie', 'knot']",tie knot,Rope,rope,0.10887,0.91629,1.04631,0.9431,0.96013,1.06317,0.9858,1.0144645005495063,0.8342551500261721,0.6786884413199197,0.6547573503846053,0.5865462592018765,1,2,1.5
1159,hold things together,hold things together,['hold'],hold,Rope,rope,-0.01869,0.76367,0.97092,0.88031,0.99267,0.86263,0.89404,0.7940494104666094,0.9122103152902528,0.7940494104666094,0.8248264561099513,0.7940494104666094,1,3,2.0
1195,tie a boat to a dock,tie boat dock,"['tie', 'boat', 'dock']",tie boat dock,Rope,rope,-0.07179,0.76683,0.84691,0.87332,0.84501,0.81383,0.82918,0.8138326089007976,0.9011694707503033,0.8717209572341267,0.8417473845737037,0.712914965836074,1,2,1.5
1195,use it for working out,use working,['working'],working,Rope,rope,0.13852,0.96186,1.02152,0.96677,0.96107,1.11669,1.00558,0.8861610198824736,0.8488324900048769,0.8861610198824736,0.7850806354370268,0.6012694634514568,3,3,3.0
1195,for tying a knot,tying knot,"['tying', 'knot']",tying knot,Rope,rope,0.09172,0.90409,0.96919,0.96315,1.01425,1.02672,0.97548,1.0267211081232372,0.8461519063645763,0.6830116383789299,0.7466538221706415,0.6830116383789299,1,2,1.5
1195,to swing,swing,['swing'],swing,Rope,rope,-0.18685,0.62637,0.83023,0.75626,0.65175,0.74018,0.72096,0.7401754706518301,0.8048693375116553,0.7401754706518301,0.7506943911279048,0.7401754706518301,2,1,1.5
1141,to exercise,exercise,['exercise'],exercise,Rope,rope,-0.03245,0.83136,0.8672,0.93012,0.79905,0.83269,0.85208,0.8326927662239076,0.8798679905487949,0.8326927662239076,0.8184622139960842,0.475656103313163,3,2,2.5
1141,to tie objects together,tie objects together,"['tie', 'object']",tie object,Rope,rope,-0.00681,0.8158,0.93669,0.92769,0.91513,0.85407,0.88988,1.059417232557357,0.747916978365466,0.8308886978692173,0.7011751748748516,0.6786884413199197,1,2,1.5
1141,to hang objects,hang objects,"['hang', 'object']",hang object,Rope,rope,0.15628,0.97055,0.95467,1.0179,0.86422,1.1931,1.00009,1.1550401355499316,0.8280177704502534,0.8308886978692173,0.7763150098456454,0.7173498783006496,2,1,1.5
1141,to use in a pulley,use pulley,['pulley'],pulley,Rope,rope,0.0675,0.83912,0.98747,1.06356,0.9406,0.90289,0.94673,0.5626592656438729,0.8798679905487949,0.5626592656438729,0.8184622139960842,0.475656103313163,2,2,2.0
1141,to drag objects,drag objects,"['drag', 'object']",drag object,Rope,rope,0.17948,1.03802,1.06089,0.97784,1.03192,1.12895,1.04752,1.109419013498564,0.9141651261277904,0.8308886978692173,0.8103805746961426,0.6578201673186936,2,2,2.0
1141,to secure objects to a surface,secure objects surface,"['secure', 'object', 'surface']",secure object surface,Rope,rope,0.05908,0.97751,0.89536,0.94738,1.05172,0.89987,0.95437,0.8949287065018241,0.9141651261277904,0.8435350101928916,0.8103805746961426,0.6578201673186936,2,2,2.0
1141,to attack someone/use as weapon,attack someone use weapon,"['attack', 'weapon']",attack weapon,Rope,rope,0.16617,0.90308,1.06735,1.07225,0.96424,1.12018,1.02542,1.0851338240865762,0.8798679905487949,0.9817819471001652,0.8184622139960842,0.475656103313163,3,4,3.5
1104,tying things together,tying things together,['tying'],tying,Rope,rope,-0.00667,0.81603,0.94763,0.92242,0.94501,0.84277,0.89477,0.6830116383789299,0.8461519063645763,0.6830116383789299,0.7466538221706415,0.6830116383789299,1,2,1.5
1104,working out,working,['working'],working,Rope,rope,0.03903,0.86003,0.96613,0.96403,1.0032,0.88616,0.93591,0.8861610198824736,0.8488324900048769,0.8861610198824736,0.7850806354370268,0.6012694634514568,3,3,3.0
1104,swinging,swinging,['swinging'],swinging,Rope,rope,-0.23238,0.61194,0.77606,0.71817,0.7712,0.63209,0.70189,0.6320896519389758,0.8488324900048769,0.6320896519389758,0.7850806354370268,0.6012694634514568,2,1,1.5
1104,acting as a barrier,acting barrier,"['acting', 'barrier']",acting barrier,Rope,rope,0.11704,0.92537,1.05449,0.96561,1.07849,1.01429,1.00765,1.0142874311296208,0.8798679905487949,0.9805660594720595,0.8184622139960842,0.475656103313163,3,3,3.0
1286,to climb,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6498791606211571,0.6998011680380246,0.6498791606211571,0.6713145432947697,0.6498791606211571,1,1,1.0
1286,to tie something up,tie something,['tie'],tie,Rope,rope,0.11087,1.04944,1.06148,0.90772,0.90557,0.99484,0.98381,0.6786884413199197,0.747916978365466,0.6786884413199197,0.7011751748748516,0.6786884413199197,1,2,1.5
1286,a belt,belt,['belt'],belt,Rope,rope,-0.18324,0.64283,0.76162,0.79092,0.83192,0.68721,0.7429,0.6872084702685317,0.6872084702685317,0.6872084702685317,0.6872084702685317,0.6872084702685317,3,4,3.5
1286,use it as a boarder,use boarder,['boarder'],boarder,Rope,rope,0.1183,0.97607,1.07136,0.97996,0.99496,0.9728,0.99903,0.9302420200608177,0.8798679905487949,0.9302420200608177,0.8184622139960842,0.475656103313163,3,2,2.5
1205,JUMP ROPE,jump rope,"['jump', 'rope']",jump rope,Rope,rope,0.07957,1.0028,0.874,0.9195,0.98699,1.0154,0.95974,1.0154048033577423,0.8798679905487949,0.6495595397071157,0.8184622139960842,0.475656103313163,2,3,2.5
1163,to climb,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6498791606211571,0.6998011680380246,0.6498791606211571,0.6713145432947697,0.6498791606211571,1,1,1.0
1163,to tie,tie,['tie'],tie,Rope,rope,-0.30498,0.464,0.56852,0.72827,0.66092,0.67869,0.62008,0.6786884413199197,0.747916978365466,0.6786884413199197,0.7011751748748516,0.6786884413199197,1,2,1.5
1163,to fasten,fasten,['fasten'],fasten,Rope,rope,-0.21615,0.71443,0.7594,0.65215,0.83561,0.65782,0.72388,0.6578201673186936,0.9141651261277904,0.6578201673186936,0.8103805746961426,0.6578201673186936,2,3,2.5
1192,swing,swing,['swing'],swing,Rope,rope,-0.18685,0.62637,0.83023,0.75626,0.65175,0.74018,0.72096,0.7401754706518301,0.8048693375116553,0.7401754706518301,0.7506943911279048,0.7401754706518301,2,1,1.5
1192,secure a boat,secure boat,"['secure', 'boat']",secure boat,Rope,rope,0.06542,0.78567,0.99872,0.93926,0.92401,1.07814,0.94516,1.0781392184556664,0.9011694707503033,0.8435350101928916,0.8417473845737037,0.712914965836074,2,2,2.0
1192,hang items,hang items,"['hang', 'item']",hang item,Rope,rope,0.17476,1.11934,1.04438,0.92389,0.94441,1.13717,1.03384,1.0752544487356692,0.8280177704502534,0.9293629908603322,0.7763150098456454,0.7173498783006496,2,2,2.0
1192,tie bundles of paper,tie bundles paper,"['tie', 'bundle', 'paper']",tie bundle paper,Rope,rope,-0.02576,0.84334,0.92212,0.92775,1.02353,0.73616,0.89058,0.883021194727653,0.747916978365466,0.8292236024496706,0.7011751748748516,0.6786884413199197,1,2,1.5
