id,item,response,rating,creativity,response_processed,cluster_freq,originality,freq,t_freq
1094,Box,to store things,1,1,store,0.9591836734693877,0,0.04081632653061229,0.3031182931448047
1094,Box,to build a fort,3,4,build fort,0.9795918367346939,0,0.020408163265306145,0.5043058181054397
1094,Box,as an umbrella,3,4,umbrella,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1094,Box,to catch a bunny,3,4,catch bunny,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1093,Box,standing on,2,2,standing,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1093,Box,putting items in,1,1,putting item,0.9977324263038548,1,0.0022675736961451642,0.9151142710602704
1093,Box,opening,1,1,opening,0.9977324263038548,1,0.0022675736961451642,0.9151142710602704
1093,Box,closing,1,1,closing,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1093,Box,cutting,1,2,cutting,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1093,Box,make a dollhouse,3,4,dollhouse,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1093,Box,fill,1,1,fill,0.9977324263038548,1,0.0022675736961451642,0.9151142710602704
1093,Box,sleep in,3,4,sleep,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1159,Box,sit in,2,4,sit,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1159,Box,play with,3,3,play,0.9727891156462585,0,0.027210884353741527,0.4193560907450171
1159,Box,break apart for other uses,3,3,break apart us,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1159,Box,delivery things in,2,3,delivery,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1159,Box,wrap,2,2,wrap,0.9954648526077098,0,0.0045351473922902175,0.8405954331110267
1195,Box,store something,1,1,store,0.9591836734693877,0,0.04081632653061229,0.3031182931448047
1195,Box,stand on top of,2,2,stand,0.9773242630385488,0,0.0226757369614512,0.4733268269888369
1195,Box,sit on,2,2,sit,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1195,Box,sit in,2,2,sit,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1195,Box,use it to make art,3,3,art,0.9863945578231292,0,0.013605442176870763,0.6179473247733704
1141,Box,to store items,1,1,store item,0.9750566893424036,0,0.024943310657596363,0.4451170806621793
1141,Box,to prop something up,2,2,prop,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1141,Box,to stand on,2,3,stand,0.9773242630385488,0,0.0226757369614512,0.4733268269888369
1141,Box,to live in,4,5,live,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
1141,Box,to use for boxcars,3,4,boxcar,0.9977324263038548,1,0.0022675736961451642,0.9151142710602704
1104,Box,storing,5,1,storing,0.9909297052154195,0,0.009070294784580546,0.7164761403030481
1104,Box,building,2,2,building,0.9954648526077098,0,0.0045351473922902175,0.8405954331110267
1286,Box,can live in it,3,5,live,0.7573696145124716,0,0.24263038548752835,0.029194508614422358
