id,item,response,novelty_1,novelty_2,response_processed,cluster_freq,originality,freq,t_freq
1094,Brick,build a structure,1,1,build structure,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1094,Brick,throw and break a window,3,2,throw break window,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1094,Brick,use as a stepping stool,3,3,stepping stool,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1094,Brick,drop a brick over a small fire to snuff it out,4,4,drop brick small fire snuff,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1094,Brick,as a hammer,3,4,hammer,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1093,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1093,Brick,throwing,3,2,throwing,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1093,Brick,propping a door open,2,3,propping door open,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1093,Brick,paving in a sidewalk,1,1,paving sidewalk,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1093,Brick,engraving,3,3,engraving,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1093,Brick,collecting,5,4,collecting,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1093,Brick,cook with charcoal bricks,4,4,cook charcoal brick,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1159,Brick,Build,2,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1159,Brick,weapon,3,3,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1159,Brick,tool,3,2,tool,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1159,Brick,decoration,4,3,decoration,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1159,Brick,a way to communicate,5,5,way communicate,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1195,Brick,to break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1195,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1195,Brick,to fix something,3,3,fix,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1195,Brick,to sit on,3,3,sit,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1195,Brick,as sandpaper,3,4,sandpaper,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1195,Brick,to hit someone with,3,3,hit,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1141,Brick,to build foundation/wall,1,1,build foundation wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1141,Brick,to throw at something,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1141,Brick,to use as weapon,3,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1141,Brick,to prop up an item,2,3,prop item,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1104,Brick,hiding a key,4,3,hiding key,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1104,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1104,Brick,throwing through a window,3,2,throwing window,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1104,Brick,weighing something down,3,3,weighing,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1286,Brick,houses,1,1,house,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1286,Brick,throwing at people,3,2,throwing people,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1286,Brick,wall,1,1,wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1286,Brick,can prop stuff up,2,3,prop stuff,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1205,Brick,PAPER WEIGHT,2,3,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1205,Brick,WHEEL WEDGE,2,3,wheel wedge,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1205,Brick,DOOR STOP,2,3,door stop,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1163,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1163,Brick,to throw,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1163,Brick,to use as a weight,3,2,weight,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1192,Brick,building material for house,1,1,building material house,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1192,Brick,can be used as a weapon,3,3,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1192,Brick,can be used as material for a fire pit,4,3,material fire pit,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1192,Brick,decorative item for gardens,3,4,decorative item garden,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1087,Brick,weapon,3,3,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1087,Brick,for construction,1,1,construction,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1087,Brick,for a paper weight,2,2,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1087,Brick,for decoration,3,4,decoration,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1087,Brick,for a bug killer,4,3,bug killer,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1087,Brick,for playing catch,5,4,playing catch,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
